date,mkt_cap
14/4/25,196601.0168
14/4/28,204848.6692
14/4/29,203058.481
14/4/30,199989.5871
14/5/1,199158.4284
14/5/2,196601.0168
14/5/5,191106.4003
14/5/6,187725.6796
14/5/7,185110.4051
14/5/8,186067.2128
14/5/9,185174.1922
14/5/12,185812.0641
14/5/13,186258.5744
14/5/14,185620.7025
14/5/15,185365.5538
14/5/16,185748.2769
14/5/19,186768.8718
14/5/20,186577.5103
14/5/21,188618.7001
14/5/22,189192.7848
14/5/23,188108.4027
14/5/27,188873.8489
14/5/28,188873.8489
14/5/29,188810.0617
14/5/30,189001.4232
14/6/2,189511.7207
14/6/3,188746.2745
14/6/4,189065.2104
14/6/5,189830.6566
14/6/6,187661.8924
14/6/9,187215.3821
14/6/10,188172.1898
14/6/11,187725.6796
14/6/12,187853.2539
14/6/13,188363.5514
14/6/16,188873.8489
14/6/17,188044.6155
14/6/18,189511.7207
14/6/19,188746.2745
14/6/20,189958.231
14/6/23,187853.2539
14/6/24,186896.4462
14/6/25,190085.8053
14/6/26,188746.2745
14/6/27,189256.572
14/6/30,189320.3591
14/7/1,191871.8465
14/7/2,193721.6748
14/7/3,194742.2697
14/7/7,194487.121
14/7/8,192318.3567
14/7/9,191680.4849
