date,mkt_cap
14/2/27,54568.421
14/2/28,53638.664
14/3/3,53268.273
14/3/4,54167.794
14/3/5,53895.67
14/3/6,54946.371
14/3/7,55233.613
14/3/10,55604.004
14/3/11,56715.177
14/3/12,57168.717
14/3/13,56261.637
14/3/14,56140.693
14/3/17,56072.662
14/3/18,56390.14
14/3/19,57380.369
14/3/20,58170.2845
14/3/21,57985.089
14/3/24,57274.543
14/3/25,56397.699
14/3/26,55588.886
14/3/27,55483.06
14/3/28,55709.83
14/3/31,55335.858
14/4/1,55810.941
14/4/2,55554.547
14/4/3,55117.169
14/4/4,53955.855
14/4/7,53111.263
14/4/8,53903.068
14/4/9,54657.168
14/4/10,52952.902
14/4/11,51829.293
14/4/14,52266.671
14/4/15,51949.949
14/4/16,53382.739
14/4/17,52900.115
14/4/21,53148.968
14/4/22,53653.4609
14/4/23,52989.592
14/4/24,53516.552
14/4/25,53787.56
14/4/28,53396.104
14/4/29,53177.792
14/4/30,53162.736
14/5/1,53539.136
14/5/2,53147.68
14/5/5,53388.576
14/5/6,52379.824
14/5/7,52500.272
14/5/8,52379.824
14/5/9,52914.312
14/5/12,53561.72
14/5/13,53569.248
14/5/14,52823.976
14/5/15,52583.08
14/5/16,53403.632
14/5/19,53463.856
14/5/20,52869.144
14/5/21,52997.12
14/5/22,53749.92
14/5/23,54186.544
14/5/27,55451.248
14/5/28,55157.656
14/5/29,55037.208
14/5/30,55135.072
14/6/2,55594.28
14/6/3,55842.704
14/6/4,56211.576
14/6/5,56249.216
14/6/6,56708.424
14/6/9,56595.504
14/6/10,56158.88
14/6/11,56309.44
14/6/12,55677.088
14/6/13,56226.632
14/6/16,56527.752
14/6/17,56693.368
14/6/18,56881.568
14/6/19,58138.744
14/6/20,57664.48
14/6/23,57762.344
14/6/24,58289.304
14/6/25,58808.736
14/6/26,58763.568
14/6/27,58673.232
14/6/30,58112.38
14/7/1,58638.08
14/7/2,58720.69
14/7/3,59374.06
14/7/7,59096.19
14/7/8,58998.56
14/7/9,59666.95
14/7/10,59216.35
14/7/11,59028.6
14/7/14,58998.56
14/7/15,59246.39
14/7/16,59126.23
14/7/17,58007.24
14/7/18,58532.94
14/7/21,58285.11
14/7/22,59133.74
14/7/23,59449.968
14/7/24,60434.04
14/7/25,59149.488
14/7/28,58864.032
14/7/29,59081.88
14/7/30,59269.68
14/7/31,58353.216
14/8/1,57827.376
14/8/4,58240.536
14/8/5,57684.648
14/8/6,57940.056
14/8/7,57624.552
14/8/8,58308.144
14/8/11,58495.944
14/8/12,58458.384
14/8/13,58022.688
14/8/14,57556.944
14/8/15,57774.792
14/8/18,58285.608
14/8/19,58683.744
14/8/20,58616.136
14/8/21,58195.464
14/8/22,58052.736
14/8/25,58571.064
