date,mkt_cap
12/8/29,50592.8338
12/8/30,50204.5064
12/8/31,50683.923
12/9/4,51014.7204
12/9/5,52707.061
12/9/6,54432.9608
12/9/7,55770.5331
12/9/10,54979.4957
12/9/11,55943.1231
12/9/12,56686.2188
12/9/13,57851.2011
12/9/14,58181.9986
12/9/17,57482.0503
12/9/18,57472.462
12/9/19,57060.1637
12/9/20,56393.7747
12/9/21,55957.5056
12/9/24,55899.9756
12/9/25,54413.7841
12/9/26,54212.4291
12/9/27,55243.1748
12/9/28,54500.0791
12/10/1,55091.4033
12/10/2,55275.2613
12/10/3,55586.4056
12/10/4,56524.5529
12/10/5,56246.4087
12/10/8,56317.1234
12/10/9,56397.2666
12/10/10,56609.4105
12/10/11,57509.8433
12/10/12,56665.9822
12/10/15,58693.1346
12/10/16,58089.7032
12/10/17,58891.1355
12/10/18,58999.5646
12/10/19,58278.2755
12/10/22,57877.5593
12/10/23,56100.2652
12/10/24,56463.2669
12/10/25,56439.6954
12/10/26,56130.0636
12/10/31,57516.3972
12/11/1,58672.4585
12/11/2,57920.5487
12/11/5,58310.6019
12/11/6,59330.3795
12/11/7,55443.9459
12/11/8,54170.3988
12/11/9,54583.9491
12/11/12,55096.1877
12/11/13,54734.3311
12/11/14,53686.3569
12/11/15,54250.2892
12/11/16,54438.2666
12/11/19,55594.3279
12/11/20,55495.6397
12/11/21,55312.3617
12/11/23,56538.9145
12/11/26,56834.979
12/11/27,55646.0217
12/11/28,56078.3698
12/11/29,55796.4036
12/11/30,55354.6566
12/12/3,55641.3222
12/12/4,54786.0249
12/12/5,55044.4939
12/12/6,55077.3899
12/12/7,54781.3255
12/12/10,54988.1006
12/12/11,55857.4963
12/12/12,55495.6397
12/12/13,55688.3166
12/12/14,56092.4681
12/12/17,58033.3352
12/12/18,60044.6938
12/12/19,59799.4302
12/12/20,60961.0838
12/12/21,60359.556
12/12/24,59936.6067
12/12/26,59758.0282
12/12/27,59527.7558
12/12/28,58987.3207
12/12/31,59334.3299
13/1/2,61241.4383
13/1/3,60906.5315
13/1/4,62567.1113
13/1/7,62450.8242
13/1/8,61887.9946
13/1/9,62478.7377
13/1/10,63897.4357
13/1/11,63785.8001
13/1/14,63320.6517
13/1/15,63069.4716
13/1/16,65627.7878
13/1/17,65590.5759
13/1/18,67190.6864
13/1/22,67888.409
13/1/23,67707.0011
13/1/24,67427.9167
13/1/25,67195.3425
13/1/28,67051.1419
13/1/29,68423.3296
13/1/30,68446.5871
13/1/31,68776.8424
13/2/1,69725.7452
13/2/4,68618.692
13/2/5,69981.5768
13/2/6,70293.2262
13/2/7,69893.1986
13/2/8,70516.4974
13/2/11,70814.1971
13/2/12,71684.0199
13/2/13,71874.7308
13/2/14,72530.59
13/2/15,72148.3301
13/2/19,73852.0668
13/2/20,72236.7711
13/2/21,70235.1077
13/2/22,71729.3727
13/2/25,68731.5327
13/2/26,68894.4588
13/2/27,70593.5451
13/2/28,69713.7443
13/3/1,70072.1816
13/3/4,70840.2618
13/3/5,71203.3588
13/3/6,71747.9928
13/3/7,72907.0955
13/3/8,71212.6642
13/3/11,71361.6252
13/3/12,70686.6504
13/3/13,70714.5759
13/3/14,71696.7875
13/3/15,72078.5
13/3/18,70733.196
13/3/19,69285.4814
13/3/20,69885.9804
13/3/21,67674.8407
13/3/22,68242.7545
13/3/25,67324.8872
13/3/26,67523.0236
13/3/27,68122.0404
13/3/28,67804.1007
13/4/1,67292.6325
13/4/2,67587.5331
13/4/3,66080.7753
13/4/4,65887.2514
13/4/5,66209.7943
13/4/8,66269.7006
13/4/9,67513.8079
13/4/10,68868.5122
13/4/11,68688.8072
13/4/12,68711.8417
13/4/15,67486.1656
13/4/16,66398.715
13/4/17,64785.9773
13/4/18,63864.4129
13/4/19,63919.7068
13/4/22,64288.3325
13/4/23,65864.2077
13/4/24,66320.382
13/4/25,66702.8313
13/4/26,66075.1988
13/4/29,66533.7041
13/4/30,66973.8738
13/5/1,65387.4408
13/5/2,65873.4565
13/5/3,66652.9155
13/5/6,68065.1118
13/5/7,68464.016
13/5/8,68895.0064
13/5/9,68106.3773
13/5/10,68363.1402
13/5/13,68606.148
13/5/14,70848.239
13/5/15,71348.0097
13/5/16,70825.3137
13/5/17,72526.3684
13/5/20,72856.4922
13/5/21,73695.5569
13/5/22,73058.2345
13/5/23,72173.3193
13/5/24,72773.9612
13/5/28,73681.8017
13/5/29,74676.7582
13/5/30,75355.3506
13/5/31,74314.539
13/6/3,74993.1269
13/6/4,74131.1369
13/6/5,72581.389
